step_index,target_x,target_y,cost
0,33.950837531573065,122.04726269938763,172.5855419320264
1,47.90167506314613,118.09452539877526,158.0855419320264
2,61.852512594719194,114.14178809816289,143.58554193202636
3,69.99870360145698,102.14639014387457,133.85255724403913
4,82.32284007085954,94.50664798307217,119.9119116790275
5,95.99855966389123,89.68744746713912,105.35760777483424
6,110.18371469016566,92.69267239725026,92.36367693139671
7,122.8833113932098,99.69054661589912,81.4151733407969
8,137.26749720665785,101.51953499317209,68.6733956355552
9,151.62933700187497,99.52264799173268,54.62868122780123
10,165.98410194109564,101.56977366929156,43.5825944566001
11,173.8799562044452,113.7314135855177,47.99588950976715
12,64.57431292952256,128.38404223637656,148.05485395254516
13,56.698921045883516,100.58854147059171,148.0548539525452
14,63.921659602484304,88.01547312022502,138.02655719271343
15,63.804350508354496,73.51594765983721,136.9980140475309
16,53.66362625682112,63.15179252522239,147.96485627793342
17,63.85004970859589,52.832549468625025,140.27289398240197
18,68.6299786316424,39.14305424452624,136.84011507020617
19,81.79983325334524,33.07634762204874,126.61958090794424
20,95.46570377618117,37.92340681841556,112.07357549917268
21,104.8771652156026,48.95401847753417,99.40966926786946
22,119.37694876153259,49.033246762749286,85.989990706641
23,130.12753661794292,39.30314600573743,79.57451391153577
24,140.8926572515232,49.0171656549076,66.77072929061707
25,155.3619470844089,49.96037916835518,52.184959937326866
26,156.44665370370907,35.501008104922086,61.13832677072618
27,170.8126765681098,33.53444077591556,52.747724737164944
28,179.15883328991822,45.391576516684154,37.848173420611154
29,191.0570344388139,53.67908575772984,23.64410952157446
30,200.90064928870194,64.32583393203468,11.036361528775732
